ProductID,Product Name,Category,Customer ,Paper,GSM,Print Size,Ups,Dimension,Ink,Plate No,Coating,Special Effects,Pasting,folding Dim.,Folding ,Construction,Specification,Actual GSM USED,ArtworkCode,Delivery Address,product immage ,ArtworkCDR,ArtworkPDF
1,D-nib 50 mg for Revacure labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,75,,,75 x 30,,,UV,,,,,Window UV for batch coding.,Printed Label on Chromo paper with 4 special Pantone colour printing.,75,BDR/D-NIB 50mg/L/03,"Revacure Lifesciences LLP- LL, Plot No. 58 to 67- Sector B-1, Umariya Dungaria Industrial Area, M.P. AKVN Village- Umariya- Dungaria, Tehsil- Shahpura, District- Jabalpur, 482 003",,,
2,Apaluside 60 mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,75,,,55 x 135,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 5 special Pantone colour printing.,,NHCAMAXIN/L1,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
3,Apaluside 60mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,300,15.75 X 20.75,4,105 x 58 x 58,"2597, + c m y k",12996,UV,,Lock Bottom,,,Window UV for batch coding.,Printed carton on ITC Cyber board with 5 special Pantone colour printing.,290,NHCAMAXIN/C1,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
4,Apaluside Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,4,200 x 190,BLACK,85115,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐ 2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,54,NHCAMAXIN/I1,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
5,Atlas 3 Stickers,Labels,Grantools,,,,,,,,,,,,,,,,,,,,
6,"ATLAS INNER 5""",,Grantools,,,,,,,,,,,,,,,,,,,,
7,"ATLAS OUTER 5""",,Grantools,,,,,,,,,,,,,,,,,,,,
8,Avinef Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,330,14 x 22,8,70 x 35 x 35,,,UV,Emboss,Side Pasting,,,Window Drip UV,ITC Saffire board with 4 colour printing.,340,AAGYFAAXIN/C1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
9,Avinef Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,8,200 x 120,BLACK,,,,3,,Folding 3 Vertical,Folding 3 Vertical,Printed Leaflet on Art Paper,,AAGYFAAXIN/I1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
10,Avinef Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,27 x 75,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,,AAGYFAAXIN/L1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
